
4,10,8,15,16,0,0,13,0,14,1,0,0,0,0,5,
3,5,2,0,0,0,0,12,0,8,15,11,0,1,9,16,
0,12,11,9,0,7,0,0,16,10,0,0,0,0,2,3,
13,0,14,16,0,3,11,1,0,0,2,9,10,15,8,12,
2,14,1,0,0,0,7,15,6,13,0,0,5,16,12,4,
7,0,9,8,0,0,10,0,5,0,4,2,0,3,15,0,
0,0,0,6,0,0,0,0,15,12,0,14,9,2,0,7,
0,3,15,0,2,0,4,5,9,1,11,0,0,10,14,0,
12,2,0,1,7,0,8,10,0,4,0,6,14,0,3,15,
11,0,6,13,0,16,1,0,14,0,0,10,12,8,0,2,
14,15,10,0,0,9,0,0,8,3,7,0,6,0,0,1,
9,0,0,4,14,15,0,0,1,2,5,0,0,11,16,10,
6,0,5,11,0,0,0,0,10,0,0,13,3,12,4,0,
0,0,12,3,13,6,14,0,4,0,16,0,0,5,0,8,
8,4,7,0,12,0,0,0,0,0,0,1,0,13,6,0,
0,1,0,14,8,0,3,0,2,0,12,5,16,7,0,11,
