0,4,0,0,8,0,16,0,11,0,1,0,0,6,0,14
3,0,0,9,0,15,0,4,10,7,0,13,0,0,12,0
0,6,0,0,2,11,0,0,8,0,0,0,3,0,0,0
15,0,0,0,0,0,0,13,0,0,14,0,0,2,0,4
0,0,0,8,0,3,0,0,7,0,0,0,5,0,0,0
0,0,0,0,0,0,14,0,0,0,0,10,0,16,0,13
0,0,9,2,5,0,0,0,0,8,0,0,11,0,0,0
12,0,1,0,0,0,0,16,0,0,13,0,0,0,3,0
0,0,0,12,15,0,0,0,0,6,0,0,13,0,4,7
16,1,13,0,10,0,0,3,0,0,7,0,0,9,0,0
6,0,0,0,0,0,11,0,4,0,0,9,0,0,2,10
0,3,0,0,0,16,0,0,0,14,8,0,0,11,0,0
5,11,3,10,0,0,0,8,0,0,12,4,0,0,0,1
0,14,0,0,11,9,0,0,0,13,15,0,4,0,5,0
13,0,4,0,6,0,0,0,0,0,0,2,0,12,0,9
0,12,0,16,0,13,0,0,0,1,0,0,6,0,15,0
