0,0,8,0,15,14,11,0,10,3,12,0,0,9,0,0
14,0,1,3,0,0,0,0,13,0,0,2,0,0,0,12
0,0,0,13,0,10,0,12,15,6,0,14,0,0,0,7
15,6,4,0,0,13,0,3,16,5,7,0,0,1,0,14
3,0,0,14,16,8,10,1,0,0,15,0,5,4,0,0
12,16,10,0,0,11,0,0,0,0,5,13,0,8,0,0
0,4,0,1,5,0,0,14,0,0,0,0,9,16,11,0
0,5,0,15,0,3,0,0,8,14,0,6,0,7,0,10
0,0,16,2,3,1,14,0,12,13,6,5,0,10,0,9
4,0,0,0,10,0,0,11,2,1,0,15,12,6,13,16
9,8,0,0,0,12,5,0,3,0,0,0,1,11,2,0
0,1,12,10,0,9,0,2,4,11,0,16,0,5,0,3
0,0,7,0,0,5,1,0,11,12,13,0,2,3,4,0
0,0,9,8,0,0,7,13,0,15,10,3,6,0,0,0
0,14,0,0,12,15,9,8,6,16,0,4,10,0,0,1
6,13,0,0,0,0,0,10,0,8,0,7,0,12,9,0
